movieInfo,quote,title,star,quo_num
导演:细田守MamoruHosoda主演:仲里依纱RiisaNaka/石田卓也Takuya...;2006/日本/剧情爱情科幻动画;;,爱上未来的你。 ,穿越时空的少女,8.7,148369人评价
导演:王家卫KarWaiWong主演:张国荣LeslieCheung/张曼玉MaggieC...;1994/香港台湾/剧情动作爱情武侠古装;;,电影诗。,东邪西毒,8.5,207243人评价
导演:托马斯·温特伯格ThomasVinterberg主演:麦斯·米科尔森MadsMik...;2012/丹麦瑞典比利时/剧情;;,人言可畏。,狩猎,9.0,82202人评价
导演:丹尼·鲍尔DannyBoyle主演:伊万·麦克格雷格EwanMcGregor/艾...;1996/英国/犯罪剧情;;,不可猜的青春迷笛。 ,猜火车,8.5,203299人评价
导演:程小东Siu-TungChing主演:张国荣LeslieCheung/王祖贤JoeyW...;1987/香港/剧情爱情武侠古装;;,两张绝世的脸。 ,倩女幽魂,8.5,194345人评价
导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/志村乔...;1954/日本/动作冒险剧情;;,时代悲歌。,七武士,9.1,58575人评价
导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...;2001/美国/喜剧动画儿童奇幻;;,不要给它起名字，起了名字就有感情了。,怪兽电力公司,8.6,189158人评价
导演:马克·赫门MarkHerman主演:阿沙·巴特菲尔德AsaButterfield/...;2008/英国美国/剧情战争;;,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩,8.8,100318人评价
导演:特瑞·乔治TerryGeorge主演:唐·钱德尔DonCheadle/苏菲·奥...;2004/英国南非意大利美国/剧情历史战争;;,当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店,8.8,92795人评价
导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint;2001/美国英国/奇幻冒险;;,童话世界的开端。,哈利·波特与魔法石,8.5,187789人评价
导演:新海诚MakotoShinkai主演:水桥研二KenjiMizuhashi/近藤好美...;2007/日本/动画剧情爱情;;,青春就是放弃和怀念。,秒速5厘米,8.5,223034人评价
导演:杰茜·尼尔森JessieNelson主演:SeanPenn/DakotaFanning/Mi...;2001/美国/剧情家庭;;,爱并不需要智商 。,我是山姆,8.9,82848人评价
导演:达伦·阿罗诺夫斯基DarrenAronofsky主演:娜塔丽·波曼NatalieP...;2010/美国/剧情惊悚;;,黑暗之美。,黑天鹅,8.5,348522人评价
导演:乔·怀特JoeWright主演:凯拉·耐特丽KeiraKnightley/马修·...;2005/法国英国美国/剧情爱情;;,爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见,8.4,242496人评价
导演:StevenSpielberg主演:HaleyJoelOsment/FrancesO'Connor/Sa...;2001/美国/冒险剧情科幻;;,对爱的执着，可以超越一切。,人工智能,8.6,157622人评价
导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...;1993/美国/剧情犯罪;;,坏人的好总是比好人的好来得更感人。,完美的世界,9.0,61090人评价
导演:FrancisFordCoppola主演:阿尔·帕西诺AlPacino/黛安·基顿D...;1990/美国/剧情犯罪;;,任何信念的力量，都无法改变命运。,教父3,8.7,102723人评价
导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks/蒂姆·艾...;2010/美国/喜剧动画奇幻冒险;;,跨度十五年的欢乐与泪水。,玩具总动员3,8.7,165302人评价
导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...;2003/韩国/犯罪剧情悬疑惊悚;;,关于连环杀人悬案的集体回忆。,杀人回忆,8.6,151148人评价
导演:吴宇森JohnWoo主演:周润发Yun-FatChow/狄龙LungTi/张国...;1986/香港/动作犯罪;;,英雄泪短，兄弟情长。 ,英雄本色,8.7,112572人评价
导演:汤姆·提克威TomTykwer主演:本·卫肖BenWhishaw/艾伦·瑞克...;2006/德国法国西班牙美国/剧情犯罪奇幻;;,一个单凭体香达到高潮的男人。,香水,8.4,227739人评价
导演:StanleyDonen/GeneKelly主演:GeneKelly/DonaldO'Connor/...;1952/美国/喜剧歌舞爱情;;,骨灰级歌舞片。,雨中曲,8.9,74468人评价
导演:LucBesson主演:Jean-MarcBarr/JeanReno/RosannaArquette;1988/法国美国意大利/剧情爱情;;,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,碧海蓝天,8.7,95144人评价
